Date,AT-Neu,BR-Npw,BW-Gum,BW-Nxr,CA-DBB,CA-SCB,CA-SCC,CH-Cha,CH-Dav,CH-Oe2,CN-Hgu,DE-Dgw,DE-Hte,DE-SfN,DE-Zrk,FI-Hyy,FI-Lom,FI-Si2,FI-Sii,FR-LGt,HK-MPM,ID-Pag,IT-BCi,IT-Cas,JP-BBY,JP-Mse,JP-Swl,KR-CRK,MAERC,MY-MLM,NL-Hor,NZ-Kop,PH-RIf,RU-Ch2,RU-Che,RU-Cok,RU-Fy2,RU-SAM,RU-Vrk,SE-Deg,SE-St1,SE-Sto,UK-LBT,US-A03,US-A10,US-Atq,US-Beo,US-Bes,US-Bgl,US-Bi1,US-Bi2,US-Brw,US-BZB,US-BZF,US-BZS,US-CRT,US-DPW,US-EDN,US-EML,US-Ho1,US-HRA,US-HRC,US-Ics,US-Ivo,US-LA1,US-LA2,US-Los,US-MRM,US-Myb,US-NC4,US-NGB,US-NGC,US-ORv,US-OWC,US-PFa,US-Snd,US-Sne,US-Srr,US-StJ,US-Tw1,US-Tw3,US-Tw4,US-Tw5,US-Twt,US-Uaf,US-WPT
3/5/2000,58,NA,0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,68,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,65,NA,71,70,NA,73,77,0,NA,NA,70,73,NA,73,0,NA,NA,72,NA,0,0,83,67,0,0,0,0,NA,0,70,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,63,NA
3/6/2000,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,74,67,73,73,NA,NA,NA,74,78,70,78,NA,NA,NA,71,NA,NA,NA,78,75,NA,0,NA,0,NA,0,73,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA
3/7/2000,NA,NA,0,0,0,NA,NA,0,79,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,75,67,NA,67,68,0,NA,NA,67,80,79,80,0,NA,NA,81,NA,0,0,86,76,0,NA,0,NA,NA,NA,67,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
3/8/2000,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,52,65,68,NA,0,NA,0,0,NA,0,10,NA,NA,0,NA,0,0,NA,NA,NA,32,NA,NA,64,NA,NA,NA,74,73,69,71,71,NA,NA,NA,73,74,NA,74,0,NA,NA,79,NA,NA,NA,81,81,NA,NA,NA,0,NA,0,71,NA,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,56,NA
3/9/2000,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,68,71,NA,NA,NA,76,71,67,70,71,NA,NA,NA,71,NA,NA,NA,NA,0,NA,87,NA,0,0,84,77,0,NA,NA,NA,0,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
3/10/2000,50,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,0,NA,0,0,0,NA,0,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,77,77,74,76,76,NA,0,0,77,75,75,75,NA,NA,NA,NA,NA,NA,NA,82,82,NA,NA,NA,0,NA,0,76,89,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,61,NA
3/11/2000,NA,NA,0,0,NA,60,58,0,83,0,NA,NA,NA,NA,NA,63,74,82,79,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,55,67,0,NA,75,76,76,77,NA,NA,NA,75,83,82,83,NA,NA,NA,81,NA,NA,NA,84,78,NA,NA,NA,NA,NA,0,76,84,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
3/12/2000,NA,NA,NA,NA,NA,52,NA,0,72,0,0,NA,NA,NA,NA,49,NA,76,73,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,72,78,NA,NA,NA,0,0,72,NA,NA,NA,NA,0,NA,82,NA,0,0,82,85,NA,0,42,NA,0,0,NA,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,60
3/13/2000,0,NA,NA,NA,NA,66,65,0,67,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,66,67,68,NA,0,0,NA,76,69,76,NA,NA,NA,80,NA,0,0,84,79,0,0,NA,0,NA,0,67,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,67,NA
3/14/2000,NA,NA,NA,NA,0,58,57,NA,NA,NA,0,NA,NA,NA,NA,NA,72,NA,NA,0,NA,NA,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,76,NA,61,56,NA,74,65,NA,65,65,NA,0,0,65,76,73,76,0,NA,NA,81,51,0,0,NA,84,NA,NA,NA,0,0,0,65,83,0,0,NA,0,0,NA,NA,0,0,0,0,0,50,18
3/15/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,57,53,NA,NA,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,63,58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/16/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,68,82,79,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,78,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/17/2000,NA,NA,NA,NA,NA,58,59,NA,NA,NA,0,NA,NA,NA,0,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,86,65,NA,NA,NA,NA,70,NA,72,72,NA,0,0,70,56,56,56,NA,NA,NA,83,NA,0,0,NA,63,NA,NA,50,NA,0,NA,72,NA,NA,NA,NA,0,0,0,NA,0,0,NA,0,0,NA,NA
3/18/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,69,68,75,NA,NA,82,NA,59,NA,NA,NA,NA,NA,NA,NA,11,0,0,NA,NA,NA,NA,NA,NA,NA,84,16,NA,NA,84,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA
3/19/2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,14,NA,NA,NA,NA,0,NA,77,75,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,54,50,54,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
3/20/2000,68,NA,0,NA,NA,73,70,0,62,NA,NA,NA,NA,0,NA,41,71,90,85,NA,NA,NA,NA,NA,74,0,0,0,NA,NA,NA,0,NA,76,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,0,0,66,NA,NA,NA,NA,NA,NA,NA,19,0,0,77,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,0,0,0,NA,NA
